old;new
chr;Chr
chrom;Chr
#chrom;Chr
chromosome;Chr

pos;Pos
bp;Pos
base_pair_location;Pos
position;Pos

CHR_BP_hg19b37;SNP

info;Info
info_ukb;Info
impinfo;Info

p;Pval
pval;Pval
p_value;Pval
p.value;Pval
pvalue;Pval
p-value;Pval

ncon;ncon
ncas;ncas
nco;ncon
nca;ncas
n;n
ndiv2;ndiv2
totaln;n
neffdiv2;ndiv2
neff;neff
nmax;nmax

beta;Effect
effect;Effect
or;Effect
effect_a1;Effect
effect_beta;Effect
beta1;Effect

neg_log_pvalue;NeglogPval

se;Stderr
stderr;Stderr
stderr_beta;Stderr
standard_error;Stderr

z;Z
zscore;Z

rsid;Rsid
rs;Rsid
snp;Rsid
id;Rsid
snpid;Rsid
rsnumbers;Rsid

alleles;Alleles
allele1;A1
allele2;A2
allele0;A2
ref;A1
alt;A2
eff.all;A1
other.all;A2
effect_allele;A1
other_allele;A2
non_effect_allele;A2

markername;MarkerName

